sample_id,crop_label,N,P,K,pH,soil_moisture,temperature,humidity,rainfall,solar_radiation,elevation,irrigation,previous_crop
S1084885,millet,0.146,36.55,167.71,5.84,4.29,27.06,44.6,158.91,16.99,1141.73,rainfed,wheat
S1027901,potato,0.317,18.77,227.08,6.72,6.84,1.43,74.03,155.09,18.55,1866.66,irrigated,rice
S1028666,wheat,0.23,10.17,113.84,6.92,17.29,25.0,57.64,588.13,18.97,1013.6,irrigated,maize
S1026785,rice,0.148,25.98,96.71,5.46,9.06,23.93,65.37,90.55,13.58,304.18,irrigated,vegetable
S1031079,soybean,0.367,56.4,68.15,5.86,8.29,8.64,47.57,345.58,18.99,1202.46,irrigated,vegetable
S1045469,rice,0.526,32.03,172.27,6.02,8.21,16.57,80.46,66.48,12.87,1597.89,rainfed,wheat
S1014625,lentil,0.216,41.18,40.35,6.81,13.92,20.37,49.62,332.12,19.54,1290.31,irrigated,wheat
S1051735,lentil,0.272,35.94,220.62,6.93,14.62,23.88,74.31,109.94,13.29,317.55,rainfed,pulses
S1054342,potato,0.01,21.51,158.05,5.74,8.48,23.38,84.59,76.17,20.85,764.25,irrigated,maize
S1013108,millet,0.01,26.08,159.2,6.24,9.4,13.02,55.74,589.63,19.01,2423.83,rainfed,pulses
S1049333,rice,0.079,1.0,52.07,5.85,10.14,23.99,82.04,367.13,24.33,95.76,rainfed,rice
S1057770,maize,0.247,51.25,305.5,6.97,15.4,20.9,56.12,196.31,10.45,1171.31,irrigated,maize
S1068025,lentil,0.349,51.56,202.47,6.46,12.89,18.56,59.71,359.29,16.69,1437.92,irrigated,vegetable
S1051972,millet,0.37,39.02,231.3,7.84,12.62,14.71,92.22,207.05,16.52,1563.31,rainfed,maize
S1086594,barley,0.273,15.69,159.22,6.44,20.2,17.91,81.47,237.8,22.45,1455.27,irrigated,rice
S1005158,lentil,0.355,52.09,228.21,7.16,14.81,20.27,63.85,175.88,21.49,1185.39,rainfed,maize
S1005567,wheat,0.51,27.34,223.22,5.12,14.47,10.53,44.61,242.95,26.77,1813.32,rainfed,maize
S1039699,rice,0.148,42.26,247.57,6.53,12.21,0.23,85.91,355.32,14.76,1734.36,irrigated,pulses
S1020376,lentil,0.062,9.41,188.84,6.8,11.05,8.45,49.42,21.5,14.07,1454.23,rainfed,wheat
S1021503,rice,0.353,33.73,132.57,6.94,3.18,33.63,51.72,292.82,12.0,6.24,rainfed,maize
S1059194,lentil,0.496,58.67,177.16,6.36,1.64,11.31,100.0,121.12,17.18,1835.19,irrigated,vegetable
S1094879,maize,0.374,46.51,314.64,5.93,13.26,28.6,38.26,575.37,18.29,939.6,rainfed,fallow
S1098182,barley,0.406,32.08,77.26,6.71,12.14,13.58,56.58,94.44,12.94,370.84,irrigated,rice
S1022467,rice,0.365,42.26,163.27,5.88,17.54,10.21,60.14,102.8,18.14,2413.89,rainfed,maize
S1060307,mustard,0.389,19.64,106.35,6.91,6.06,12.81,23.24,354.29,22.71,2038.16,rainfed,pulses
S1073083,barley,0.209,32.22,172.35,6.19,6.73,9.07,44.49,26.59,16.84,1816.11,rainfed,pulses
S1046050,rice,0.432,26.28,197.37,6.36,18.95,11.3,48.76,285.17,13.83,790.01,irrigated,maize
S1013659,soybean,0.081,31.12,135.01,7.12,0.1,25.79,72.23,82.73,13.23,176.34,irrigated,wheat
S1023987,maize,0.37,50.13,271.68,6.03,15.0,19.15,51.8,130.64,24.51,1533.43,rainfed,wheat
S1075619,sugarcane,0.098,35.64,239.88,5.68,16.45,17.32,71.43,236.2,12.2,1657.0,rainfed,wheat
S1033017,soybean,0.123,32.73,139.71,7.36,11.12,8.24,32.86,219.65,15.49,648.3,rainfed,pulses
S1087934,barley,0.255,35.91,131.76,5.86,1.78,23.72,50.58,35.84,26.93,72.93,rainfed,rice
S1005985,rice,0.476,50.06,202.82,5.69,17.33,21.54,56.51,336.21,23.06,35.04,rainfed,vegetable
S1047410,maize,0.626,40.09,267.37,6.15,19.91,24.74,55.96,696.38,23.0,752.34,rainfed,pulses
S1037086,soybean,0.204,1.0,128.23,6.98,6.09,25.36,44.64,319.3,17.77,429.63,irrigated,vegetable
S1099103,millet,0.354,31.35,128.79,6.14,14.12,22.27,59.44,341.75,15.22,1883.27,irrigated,wheat
S1007794,potato,0.621,38.26,182.73,6.39,0.87,14.53,57.24,73.91,17.01,1817.83,rainfed,maize
S1065422,barley,0.163,9.13,120.37,5.43,8.85,20.53,86.53,86.55,13.54,1152.12,rainfed,wheat
S1057323,rice,0.202,38.08,157.05,6.96,11.82,15.85,43.19,53.03,23.41,1869.53,irrigated,maize
S1093044,wheat,0.461,30.67,310.17,6.49,4.35,11.08,76.0,237.23,22.7,764.57,rainfed,vegetable
S1004253,rice,0.187,1.0,131.23,5.49,5.95,16.53,63.03,138.16,18.81,1264.83,irrigated,wheat
S1075114,rice,0.401,54.32,276.82,5.97,6.13,7.57,82.69,98.77,14.53,2459.6,irrigated,pulses
S1047010,rice,0.42,21.96,71.67,7.07,10.59,19.23,32.66,529.04,22.28,823.62,irrigated,wheat
S1033242,sugarcane,0.585,39.32,229.52,5.75,13.81,8.4,92.16,215.47,19.12,726.97,rainfed,maize
S1032015,rice,0.254,36.56,97.15,5.54,11.5,26.96,57.47,458.57,17.09,770.71,irrigated,vegetable
S1033294,lentil,0.314,23.22,202.83,5.18,10.79,19.8,57.26,204.85,12.92,2341.57,irrigated,fallow
S1074423,mustard,0.368,40.19,69.16,6.09,4.45,18.92,75.09,87.44,22.89,940.07,rainfed,vegetable
S1026211,lentil,0.037,22.41,119.43,6.26,9.33,17.56,63.94,250.72,14.58,1117.78,rainfed,maize
S1019687,rice,0.546,34.18,228.49,6.89,13.81,24.24,56.31,772.88,20.69,1025.51,irrigated,wheat
S1000161,rice,0.332,45.23,295.5,6.9,17.52,13.78,68.48,438.51,23.05,1580.76,irrigated,pulses
S1044371,rice,0.221,30.28,259.63,5.57,8.05,27.18,46.78,82.97,15.74,637.57,rainfed,maize
S1041315,sugarcane,0.481,48.34,291.79,7.73,4.96,10.06,76.95,115.99,17.1,1580.5,irrigated,wheat
S1077025,barley,0.454,21.7,224.54,5.99,10.08,24.5,63.61,239.77,21.33,596.64,rainfed,rice
S1003357,maize,0.232,36.17,185.79,7.49,22.55,19.21,66.76,185.31,18.44,957.0,irrigated,vegetable
S1075003,barley,0.229,36.17,149.43,5.47,20.54,23.19,63.1,447.85,15.3,1751.0,rainfed,maize
S1043673,maize,0.192,9.63,169.69,6.81,4.22,23.86,22.16,602.76,22.48,2037.93,rainfed,wheat
S1031265,barley,0.34,23.83,221.74,8.35,7.57,19.68,63.06,186.09,23.02,2381.3,rainfed,maize
S1065438,maize,0.233,33.53,214.06,5.13,12.54,24.62,42.81,120.18,13.23,1748.54,rainfed,vegetable
S1077950,rice,0.473,42.57,113.65,6.37,17.1,22.91,57.98,202.77,20.64,836.03,irrigated,vegetable
S1041219,sugarcane,0.381,47.94,96.5,6.94,6.59,8.95,72.02,89.03,16.14,2465.86,rainfed,vegetable
S1002441,wheat,0.231,32.89,188.91,6.34,0.1,11.66,72.82,261.69,25.25,1354.26,rainfed,pulses
S1041649,wheat,0.398,37.61,169.07,6.11,6.85,18.09,63.86,569.84,15.1,401.09,rainfed,wheat
S1072685,wheat,0.338,29.84,170.21,6.55,15.81,20.11,43.77,526.84,17.07,261.83,rainfed,wheat
S1054206,rice,0.187,7.98,156.44,6.28,5.11,15.96,66.98,506.3,11.96,472.06,irrigated,wheat
S1016222,rice,0.202,32.1,160.99,6.75,10.93,23.78,71.12,112.55,8.49,812.22,irrigated,vegetable
S1042134,soybean,0.397,37.16,84.3,6.65,9.56,7.85,43.81,344.48,12.44,1703.79,rainfed,maize
S1080512,sugarcane,0.292,52.57,78.39,6.68,16.45,19.08,83.28,250.05,11.31,2085.49,irrigated,fallow
S1055306,wheat,0.294,35.46,207.19,7.31,15.83,23.44,41.71,216.35,21.43,126.19,irrigated,fallow
S1050792,millet,0.558,38.42,254.78,5.53,9.51,7.04,83.81,26.28,14.69,1310.21,rainfed,pulses
S1082473,barley,0.355,41.69,174.85,5.62,14.93,19.65,62.02,108.01,19.05,1032.98,rainfed,pulses
S1024413,millet,0.391,41.98,201.38,5.86,10.14,21.05,54.02,99.7,22.82,1334.89,rainfed,maize
S1011941,mustard,0.228,48.69,226.48,6.8,12.27,12.68,68.34,215.57,17.22,322.34,rainfed,fallow
S1029976,wheat,0.329,47.77,89.35,6.47,9.87,19.32,69.44,272.88,16.86,305.27,rainfed,maize
S1014487,potato,0.303,39.62,29.86,5.99,4.97,8.56,43.5,523.8,25.47,2088.04,rainfed,maize
S1090454,lentil,0.337,27.77,166.96,8.21,17.27,13.0,56.31,159.67,17.14,1854.52,rainfed,wheat
S1090086,barley,0.251,46.08,213.74,6.72,11.72,9.69,42.84,158.58,22.55,2402.18,rainfed,wheat
S1047477,wheat,0.27,39.37,61.33,5.17,9.37,14.35,48.09,442.41,11.57,206.86,rainfed,vegetable
S1022230,maize,0.33,49.74,277.78,8.1,0.1,20.52,27.1,80.27,14.58,1042.27,irrigated,vegetable
S1028137,barley,0.224,47.94,157.43,6.31,15.92,13.51,58.91,492.24,22.61,590.72,rainfed,wheat
S1028441,wheat,0.393,40.26,222.81,6.04,0.1,12.59,77.07,285.82,14.63,2103.62,rainfed,wheat
S1067408,soybean,0.488,49.73,170.03,5.81,10.6,15.15,66.16,414.33,20.56,991.89,rainfed,vegetable
S1090508,mustard,0.377,29.67,161.55,6.89,0.58,13.55,83.04,624.14,8.71,1936.51,rainfed,pulses
S1016816,rice,0.21,19.61,163.16,7.56,13.35,12.23,51.29,76.52,17.89,830.19,irrigated,wheat
S1026743,rice,0.513,41.8,155.92,6.4,15.2,6.04,97.23,179.9,14.76,1857.26,rainfed,rice
S1086044,wheat,0.293,43.67,129.21,6.56,10.34,12.52,69.11,205.32,26.23,2339.9,rainfed,vegetable
S1036841,rice,0.594,78.08,304.79,5.86,14.5,9.69,47.1,800.53,19.22,403.97,irrigated,pulses
S1063614,lentil,0.336,27.95,179.14,6.97,6.27,27.61,51.47,431.2,22.97,453.92,irrigated,wheat
S1029758,rice,0.398,24.46,182.94,5.63,7.16,25.13,75.74,336.7,15.7,660.86,irrigated,maize
S1048271,lentil,0.283,38.85,98.31,5.83,8.61,17.74,85.25,386.29,20.35,1746.63,rainfed,vegetable
S1033255,rice,0.261,37.99,158.29,6.64,19.76,7.56,58.58,108.56,19.36,2143.5,irrigated,maize
S1052069,lentil,0.236,31.84,113.77,7.32,11.43,17.18,48.64,140.16,11.36,1896.9,rainfed,maize
S1067954,potato,0.49,54.08,133.43,6.27,13.71,20.19,54.09,384.92,14.93,115.82,irrigated,fallow
S1090755,millet,0.358,39.15,137.94,8.58,9.69,11.52,78.95,222.61,10.97,2187.39,rainfed,fallow
S1002391,rice,0.194,21.08,174.53,6.48,5.67,21.61,53.07,176.65,19.77,417.15,irrigated,rice
S1093666,wheat,0.403,37.05,287.95,6.57,11.75,18.43,49.24,153.62,22.03,2113.06,irrigated,pulses
S1080056,rice,0.333,22.44,173.69,8.28,9.68,28.6,61.63,238.08,19.72,84.93,irrigated,vegetable
S1090440,lentil,0.485,46.91,212.1,5.49,10.54,22.17,49.93,360.97,15.23,317.23,rainfed,rice
S1000966,sugarcane,0.183,37.36,213.1,4.65,15.68,12.47,74.06,304.84,13.25,1797.61,rainfed,vegetable
S1072129,soybean,0.288,14.69,140.6,6.68,16.68,15.26,47.4,257.25,17.09,691.26,rainfed,maize
S1080486,maize,0.469,50.25,179.26,5.59,2.84,23.6,71.15,412.57,21.37,170.77,irrigated,pulses
S1061145,wheat,0.347,24.19,132.72,5.77,19.34,15.39,69.97,330.4,19.17,1695.72,rainfed,rice
S1054315,rice,0.335,45.55,141.8,5.91,3.49,32.3,47.37,109.86,19.47,182.42,irrigated,vegetable
S1066849,sugarcane,0.396,27.15,217.27,6.73,18.63,23.44,60.24,259.04,18.12,1250.81,irrigated,maize
S1054372,mustard,0.336,33.57,194.23,6.81,11.5,24.23,100.0,787.31,12.61,1978.53,irrigated,wheat
S1011668,sugarcane,0.238,30.12,156.25,5.14,11.11,18.23,15.62,692.21,19.61,1720.28,irrigated,fallow
S1008266,wheat,0.412,38.07,153.65,6.8,4.69,18.38,32.2,519.48,18.44,1642.8,irrigated,rice
S1034566,maize,0.045,30.36,172.49,6.0,10.77,30.26,47.04,165.59,15.97,706.95,rainfed,vegetable
S1006071,sugarcane,0.324,22.2,129.45,5.36,10.49,22.9,62.25,196.78,11.9,762.75,irrigated,wheat
S1074739,sugarcane,0.351,30.29,46.93,7.23,10.4,12.7,91.54,1106.41,18.33,1153.23,irrigated,vegetable
S1066288,millet,0.308,29.33,231.5,7.12,8.06,23.04,35.65,172.53,15.74,1722.97,irrigated,maize
S1030708,barley,0.393,56.26,275.18,6.1,10.22,20.48,64.12,85.42,14.42,1388.79,rainfed,pulses
S1011965,rice,0.268,34.69,204.57,6.17,14.48,28.96,47.45,345.27,20.02,1132.54,rainfed,vegetable
S1014004,potato,0.355,40.15,234.23,8.2,17.16,11.49,51.56,305.59,16.97,1976.04,irrigated,vegetable
S1071067,barley,0.248,23.28,146.71,6.31,11.61,13.92,28.73,250.03,15.78,1147.72,rainfed,maize
S1036073,rice,0.405,47.07,301.14,7.79,9.89,11.16,71.12,851.63,16.62,1505.95,irrigated,wheat
S1048550,sugarcane,0.42,18.6,148.1,7.94,17.74,13.15,54.33,119.51,18.26,118.39,irrigated,vegetable
S1064780,mustard,0.434,33.74,203.99,6.58,13.51,7.55,51.62,529.64,19.51,1522.99,irrigated,pulses
S1069448,barley,0.278,40.42,237.91,6.92,5.12,2.89,46.56,221.92,15.74,2029.79,irrigated,maize
S1057048,mustard,0.356,24.43,227.67,7.52,13.98,16.69,47.19,882.8,22.97,1859.29,rainfed,fallow
S1032342,lentil,0.319,66.32,146.68,6.15,11.16,14.83,69.07,542.83,15.85,704.37,rainfed,pulses
S1014370,maize,0.333,40.48,193.84,5.33,15.61,18.74,78.37,658.7,8.55,2187.2,rainfed,pulses
S1060741,lentil,0.325,22.37,178.46,7.05,14.7,13.52,60.43,15.39,16.85,1651.24,rainfed,wheat
S1091832,millet,0.444,26.77,220.86,7.51,1.46,11.01,45.37,312.73,17.88,1412.55,rainfed,wheat
S1084537,wheat,0.168,34.95,133.35,5.95,14.07,10.76,52.73,37.69,23.67,2273.63,rainfed,wheat
S1038198,maize,0.344,55.9,144.94,5.62,10.15,12.76,64.2,86.19,20.19,1882.85,rainfed,pulses
S1096793,barley,0.272,46.82,235.3,7.02,1.43,12.32,56.73,495.82,12.14,2060.51,rainfed,pulses
S1094557,soybean,0.127,25.3,241.76,6.52,7.75,13.71,62.37,508.03,23.52,869.43,rainfed,wheat
S1003306,wheat,0.427,38.92,239.94,6.01,11.0,23.19,75.62,579.89,24.09,931.33,irrigated,pulses
S1078286,wheat,0.554,53.28,104.81,8.18,8.56,19.68,64.19,87.26,15.53,838.3,irrigated,wheat
S1085877,mustard,0.256,50.81,278.34,5.92,13.64,23.33,65.71,113.92,25.69,38.01,rainfed,pulses
S1092316,lentil,0.212,30.73,113.24,5.92,20.41,6.72,63.52,146.04,17.8,1742.38,irrigated,rice
S1082420,millet,0.161,22.57,119.27,6.32,4.06,31.56,39.53,293.98,20.75,159.04,rainfed,fallow
S1023335,barley,0.562,59.2,217.33,7.03,19.31,13.5,64.69,804.16,15.06,2389.25,irrigated,maize
S1066721,millet,0.344,41.48,177.52,7.62,7.89,22.48,51.36,68.82,26.84,217.46,rainfed,vegetable
S1088978,lentil,0.437,44.07,126.29,6.58,7.28,24.56,64.63,67.04,16.53,2103.55,rainfed,fallow
S1069954,rice,0.236,28.14,256.5,7.54,6.89,16.17,65.43,16.06,13.7,1149.45,irrigated,pulses
S1025087,lentil,0.3,28.81,191.09,7.29,2.83,16.64,39.15,650.31,11.49,1215.24,irrigated,vegetable
S1058868,potato,0.445,28.35,221.07,9.0,18.13,5.01,81.34,753.88,17.79,1605.62,rainfed,vegetable
S1020364,soybean,0.543,35.18,222.26,6.72,17.54,22.55,44.2,159.26,20.18,334.82,irrigated,vegetable
S1002968,rice,0.104,25.08,182.57,7.01,8.65,8.45,78.14,5.92,14.97,2367.73,irrigated,maize
S1049328,wheat,0.294,36.76,172.97,5.78,13.45,28.46,79.06,334.83,17.41,130.83,irrigated,rice
S1081135,rice,0.176,41.78,241.83,5.82,13.35,13.04,70.69,352.97,14.7,137.65,rainfed,rice
S1078635,wheat,0.353,29.8,234.89,5.7,7.81,22.54,75.97,311.63,11.12,1312.06,rainfed,rice
S1033446,millet,0.404,45.13,186.71,5.19,11.91,19.99,65.16,224.63,16.52,387.28,irrigated,vegetable
S1039207,wheat,0.451,28.08,159.52,7.67,3.12,18.64,69.83,718.4,19.85,1336.32,rainfed,fallow
S1073148,wheat,0.347,32.3,237.79,6.48,6.66,29.87,74.5,248.2,18.09,1434.5,rainfed,vegetable
S1008384,rice,0.197,26.93,196.75,6.9,13.46,21.04,73.1,401.01,12.91,644.85,rainfed,vegetable
S1026180,lentil,0.285,42.32,159.11,7.73,6.51,17.32,57.32,419.87,16.72,1582.61,irrigated,pulses
S1029238,sugarcane,0.257,36.16,216.88,6.11,15.24,18.02,61.09,248.18,14.43,1198.39,irrigated,pulses
S1076963,rice,0.406,35.02,166.16,7.24,10.83,19.3,51.67,167.07,14.3,745.97,irrigated,maize
S1048221,maize,0.415,19.76,291.83,7.67,8.65,20.57,62.68,139.85,21.65,390.48,rainfed,pulses
S1003785,rice,0.548,62.42,95.41,6.16,6.32,25.94,45.47,678.2,25.79,261.14,rainfed,wheat
S1046067,lentil,0.314,40.1,193.23,6.34,4.28,12.0,58.31,71.41,16.01,782.0,irrigated,wheat
S1044526,mustard,0.356,31.48,176.64,6.51,10.96,15.38,63.28,400.37,16.99,2207.3,irrigated,maize
S1063698,rice,0.382,34.28,96.3,5.83,6.27,27.27,57.55,170.71,17.06,101.53,irrigated,vegetable
S1038035,millet,0.413,63.67,122.28,4.75,12.96,13.42,81.38,69.2,18.89,2143.0,irrigated,wheat
S1025453,rice,0.215,51.65,127.5,5.82,17.58,25.08,49.8,160.32,19.01,1388.01,irrigated,vegetable
S1070380,maize,0.3,27.38,219.75,5.29,10.06,22.45,60.29,371.18,20.74,837.62,rainfed,rice
S1030662,mustard,0.2,38.91,175.51,6.15,5.1,16.9,44.73,174.58,17.17,2358.65,rainfed,pulses
S1013695,soybean,0.204,48.31,45.52,6.47,14.23,22.03,44.62,131.89,12.09,214.16,rainfed,pulses
S1009454,potato,0.512,38.68,106.62,6.87,13.93,18.98,55.86,348.16,16.44,2148.59,irrigated,pulses
S1082512,millet,0.53,24.98,121.64,6.03,9.09,10.46,94.82,122.34,14.53,1885.78,rainfed,pulses
S1055340,rice,0.26,61.14,164.12,6.21,0.1,24.15,78.99,69.63,14.12,117.71,irrigated,pulses
S1076722,barley,0.094,25.64,169.59,6.78,13.54,4.87,59.14,241.76,12.9,2398.25,rainfed,rice
S1026330,wheat,0.474,29.32,223.13,5.91,13.36,11.17,68.69,254.82,9.79,1300.72,rainfed,pulses
S1036970,lentil,0.076,28.23,226.14,7.06,6.02,20.56,65.51,350.94,20.67,567.25,rainfed,pulses
S1074902,millet,0.373,36.28,169.73,7.22,10.46,22.02,80.94,146.86,10.46,632.11,irrigated,pulses
S1010205,millet,0.174,49.63,183.45,5.43,15.2,11.82,69.48,131.42,25.56,512.96,irrigated,vegetable
S1060099,maize,0.279,44.91,304.82,6.97,10.36,22.51,57.8,167.98,13.63,114.42,irrigated,pulses
S1060894,lentil,0.28,45.0,261.81,6.59,9.32,20.02,76.61,607.18,17.34,769.63,rainfed,fallow
S1020061,wheat,0.277,37.56,51.89,5.84,4.78,14.07,54.0,422.72,22.12,1433.15,rainfed,wheat
S1066339,wheat,0.356,18.99,90.39,7.43,11.3,16.6,59.75,288.4,20.8,1945.72,irrigated,rice
S1030828,soybean,0.376,51.0,216.33,7.99,13.45,27.31,83.93,301.05,13.34,1270.23,rainfed,rice
S1095715,potato,0.384,33.73,212.05,7.48,5.75,15.89,28.39,550.79,18.86,2021.4,rainfed,rice
S1051561,potato,0.259,24.62,164.17,5.95,17.06,8.19,70.07,68.19,17.03,1731.45,rainfed,fallow
S1061066,wheat,0.322,25.1,206.55,6.64,14.17,30.79,67.77,336.11,15.28,1515.39,irrigated,pulses
S1082755,maize,0.303,26.46,223.14,6.39,2.98,7.16,53.78,18.52,22.01,2405.92,rainfed,rice
S1017037,maize,0.248,35.94,192.78,6.58,10.31,21.59,47.04,178.25,16.62,352.56,rainfed,rice
S1011761,rice,0.084,37.54,108.13,5.9,18.5,24.88,70.81,507.53,15.38,279.5,irrigated,vegetable
S1005957,wheat,0.436,36.57,226.13,8.38,3.25,18.79,72.92,265.37,9.33,921.81,rainfed,pulses
S1019489,soybean,0.45,37.45,155.78,5.9,16.73,19.76,70.24,470.69,21.52,599.13,rainfed,wheat
S1022379,maize,0.25,19.53,223.29,7.58,7.66,14.91,57.41,200.79,17.36,2247.48,irrigated,pulses
S1045912,potato,0.407,25.68,94.36,5.71,13.99,12.99,54.8,404.63,18.85,2202.3,rainfed,fallow
S1058280,mustard,0.053,36.1,82.55,6.95,3.5,15.11,44.74,158.1,14.12,376.88,rainfed,vegetable
S1041692,lentil,0.433,42.51,248.35,5.6,11.89,9.25,71.8,579.91,13.52,2215.58,rainfed,vegetable
S1060864,wheat,0.528,49.95,285.78,7.09,12.85,24.3,77.65,381.55,21.18,2288.74,rainfed,rice
S1027851,lentil,0.272,12.63,30.89,7.64,8.79,13.91,73.96,241.56,17.01,1193.41,rainfed,wheat
S1019972,soybean,0.28,44.9,145.44,5.87,15.72,17.21,51.52,694.18,14.0,1374.97,rainfed,maize
S1008813,wheat,0.363,37.9,288.49,6.73,11.45,20.65,85.96,228.9,22.73,865.67,rainfed,vegetable
S1001736,lentil,0.372,59.29,234.88,6.61,24.62,16.36,79.05,488.67,17.66,1124.46,rainfed,pulses
S1055053,wheat,0.283,28.36,108.48,6.71,7.25,16.85,77.47,452.65,21.64,1106.53,rainfed,maize
S1053128,rice,0.426,35.13,141.64,5.59,5.41,15.02,53.38,810.11,15.33,344.65,irrigated,maize
S1029946,rice,0.465,27.96,234.58,6.9,17.87,18.02,61.17,321.51,13.14,363.04,rainfed,rice
S1024506,wheat,0.381,28.46,267.7,5.77,8.52,22.41,67.27,120.28,20.58,241.47,irrigated,pulses
S1098605,soybean,0.398,17.43,135.8,7.23,16.07,13.17,57.55,603.46,21.91,1110.41,rainfed,fallow
S1030510,wheat,0.249,23.56,140.11,7.32,13.48,21.35,76.99,117.16,16.52,689.63,rainfed,fallow
S1017906,millet,0.299,32.63,195.09,5.74,13.39,12.84,55.61,238.66,18.02,987.1,rainfed,rice
S1047757,wheat,0.196,34.15,230.36,6.52,6.8,5.01,65.08,267.08,18.29,2332.75,irrigated,vegetable
S1070302,mustard,0.221,13.9,250.66,5.83,6.04,16.02,62.94,85.67,24.05,181.92,rainfed,vegetable
S1083450,mustard,0.272,31.42,135.39,6.86,14.55,17.05,31.44,182.94,22.57,92.24,rainfed,wheat
S1071061,lentil,0.387,32.68,301.54,7.87,6.79,20.92,30.98,42.35,10.99,1310.12,irrigated,wheat
S1078364,barley,0.277,49.24,209.82,6.49,8.53,11.41,69.86,51.8,19.56,1395.16,irrigated,vegetable
S1009804,maize,0.416,41.67,226.53,4.44,9.79,12.55,44.14,364.1,18.97,1399.71,rainfed,vegetable
S1022367,rice,0.204,38.82,205.74,7.7,9.85,31.9,59.4,179.45,15.59,235.41,rainfed,pulses
S1061783,lentil,0.318,34.13,150.8,6.0,4.97,20.03,69.8,633.88,21.44,1625.5,rainfed,pulses
S1073394,rice,0.293,30.95,193.68,6.49,14.05,30.13,56.7,401.05,15.11,171.48,rainfed,maize
S1007862,rice,0.518,54.78,230.54,6.62,25.05,27.24,53.94,135.15,22.22,23.0,irrigated,wheat
S1058888,maize,0.324,40.78,160.62,5.77,18.11,25.32,58.54,262.02,17.48,214.03,rainfed,rice
S1056474,potato,0.272,32.13,266.51,5.07,1.68,1.1,57.08,327.87,21.59,2134.98,irrigated,maize
S1038351,potato,0.521,40.61,185.38,6.38,9.36,20.12,68.79,423.35,19.34,1481.77,irrigated,maize
S1045621,barley,0.495,29.41,220.98,7.02,18.7,19.27,57.25,391.08,19.78,1463.58,rainfed,wheat
S1043608,mustard,0.377,42.87,122.53,6.48,11.15,18.56,73.64,663.91,19.88,1391.37,irrigated,vegetable
S1048130,potato,0.382,37.3,182.6,7.5,0.1,17.36,73.99,103.63,25.6,676.09,irrigated,wheat
S1001246,lentil,0.23,44.02,141.12,6.26,0.1,28.61,61.49,264.26,17.24,328.11,rainfed,pulses
S1040717,maize,0.167,21.45,230.5,5.52,1.18,36.96,49.93,547.14,19.86,627.73,irrigated,wheat
S1034646,barley,0.1,17.86,261.46,7.19,8.55,9.21,65.25,48.3,16.26,1983.15,rainfed,wheat
S1082827,lentil,0.16,24.61,129.16,6.4,1.31,16.46,50.84,103.3,17.82,1513.8,rainfed,rice
S1095587,lentil,0.396,37.18,212.51,6.21,19.83,13.5,74.19,399.0,21.72,932.4,rainfed,rice
S1095233,wheat,0.268,38.82,217.93,6.63,10.21,12.4,77.4,475.1,19.66,2471.54,rainfed,fallow
S1085061,lentil,0.139,33.44,203.81,5.81,0.1,11.64,55.02,123.24,14.06,1601.89,rainfed,vegetable
S1020362,wheat,0.247,27.15,158.94,6.71,6.23,30.65,58.87,313.16,17.44,809.31,irrigated,rice
S1010085,potato,0.427,20.6,136.05,5.97,7.36,5.65,24.58,115.5,15.87,1530.78,irrigated,pulses
S1016435,mustard,0.378,37.72,159.4,6.62,16.81,8.42,80.31,311.68,22.72,1652.89,rainfed,pulses
S1053479,maize,0.328,19.23,148.56,6.47,13.51,10.79,57.48,471.78,16.33,1019.07,irrigated,pulses
S1064868,wheat,0.371,32.9,228.14,5.91,12.86,13.02,79.48,895.88,23.63,989.18,irrigated,pulses
S1073400,lentil,0.218,20.52,188.33,6.39,4.22,13.01,58.69,298.04,14.17,2486.75,rainfed,maize
S1015042,sugarcane,0.405,46.14,212.99,6.89,10.18,29.21,53.08,301.95,22.43,396.5,rainfed,wheat
S1089801,mustard,0.111,11.72,230.92,6.48,7.63,18.15,66.52,224.22,11.2,1645.49,irrigated,rice
S1091211,lentil,0.317,53.5,219.17,4.57,11.43,8.08,61.56,118.33,18.46,1651.55,rainfed,vegetable
S1045827,sugarcane,0.419,35.12,273.71,5.85,9.4,11.46,66.9,44.71,25.29,1711.12,rainfed,vegetable
S1051089,rice,0.281,48.22,175.27,7.07,9.11,4.03,58.29,110.0,17.39,1664.26,rainfed,fallow
S1006606,rice,0.397,59.77,121.7,6.44,7.97,17.47,33.77,1198.72,13.35,322.66,irrigated,wheat
S1074985,barley,0.304,46.93,83.74,6.93,11.46,14.19,55.4,542.9,16.28,636.77,rainfed,wheat
S1088653,rice,0.291,33.57,210.66,7.09,8.87,12.71,68.87,328.54,16.85,1689.25,rainfed,fallow
S1081108,potato,0.385,33.02,194.57,5.64,8.48,17.19,53.22,315.44,20.39,1806.7,irrigated,wheat
S1008115,millet,0.127,33.78,188.82,7.31,13.82,26.21,70.75,135.14,20.45,701.16,rainfed,maize
S1041210,rice,0.447,52.44,228.37,5.19,9.5,30.63,70.64,466.7,18.53,2444.76,rainfed,wheat
S1075178,potato,0.308,51.89,168.13,5.97,10.62,19.93,65.91,490.03,17.45,1097.34,irrigated,rice
S1022285,barley,0.397,49.79,94.36,6.61,8.82,15.45,61.43,468.08,20.79,2100.44,irrigated,maize
